19:12:32:983 [ALWAYS]	GUDE Logging Started
19:12:32:983 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:12:32:983 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:12:32:983 [ERROR]	Initialize resume cache pointer failure
19:12:32:984 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:12:32:984 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:12:35:046 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:12:35:046 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:12:35:047 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:12:35:047 [ERROR]	Initialize resume cache pointer failure
19:12:35:047 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:12:35:047 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
